lat,beta,somme_cos_ti_actuel,somme_cos_ti_corrige,ecart_rel_pct
-35.0,15.75,886.3,1248.4,-29.0
-32.5,14.62,940.8,1258.3,-25.23
-30.0,13.5,992.8,1267.0,-21.64
-27.5,12.38,1042.0,1275.5,-18.31
-25.0,11.25,1087.9,1282.9,-15.2
-22.5,10.12,1130.2,1289.7,-12.36
-20.0,9.0,1168.7,1295.6,-9.79
-17.5,7.88,1203.1,1301.1,-7.53
-15.0,6.75,1233.2,1305.7,-5.55
-12.5,5.62,1259.1,1309.5,-3.85
-10.0,4.5,1280.3,1312.8,-2.48
-7.5,3.38,1297.0,1315.3,-1.39
-5.0,2.25,1308.9,1317.0,-0.62
-2.5,1.12,1316.0,1318.1,-0.15
0.0,0.0,1318.3,1318.3,0.0
2.5,1.12,1318.0,1318.0,0.0
5.0,2.25,1316.9,1316.9,0.0
7.5,3.38,1315.1,1315.1,0.0
10.0,4.5,1312.6,1312.6,0.0
12.5,5.62,1309.3,1309.3,0.0
15.0,6.75,1305.4,1305.4,0.0
17.5,7.88,1300.6,1300.6,0.0
20.0,9.0,1295.1,1295.1,0.0
22.5,10.12,1289.0,1289.0,-0.0
25.0,11.25,1282.3,1282.3,0.0
27.5,12.38,1274.7,1274.7,0.0
30.0,13.5,1266.5,1266.5,-0.0
32.5,14.62,1257.5,1257.5,0.0
35.0,15.75,1247.5,1247.5,-0.0
37.5,16.88,1236.8,1236.8,0.0
