lat,beta,saison,cos_ti_actuel,cos_ti_corrige,ecart_rel_pct
-35.0,15.75,equinoxe,0.6327,0.9441,-32.98
-35.0,15.75,solstice juin,0.2723,0.7349,-62.95
-35.0,15.75,solstice decembre,0.8886,0.9973,-10.9
-32.5,14.62,equinoxe,0.6804,0.9517,-28.51
-32.5,14.62,solstice juin,0.3326,0.751,-55.71
-32.5,14.62,solstice decembre,0.9158,0.9953,-7.98
-30.0,13.5,equinoxe,0.7254,0.9588,-24.35
-30.0,13.5,solstice juin,0.3915,0.7666,-48.93
-30.0,13.5,solstice decembre,0.9394,0.9927,-5.37
-27.5,12.38,equinoxe,0.7674,0.9654,-20.5
-27.5,12.38,solstice juin,0.4489,0.7818,-42.58
-27.5,12.38,solstice decembre,0.9592,0.9895,-3.06
-25.0,11.25,equinoxe,0.8064,0.9713,-16.98
-25.0,11.25,solstice juin,0.5045,0.7965,-36.66
-25.0,11.25,solstice decembre,0.9751,0.9857,-1.07
-22.5,10.12,equinoxe,0.8422,0.9768,-13.77
-22.5,10.12,solstice juin,0.5581,0.8108,-31.17
-22.5,10.12,solstice decembre,0.9872,0.9814,0.59
-20.0,9.0,equinoxe,0.8746,0.9816,-10.9
-20.0,9.0,solstice juin,0.6095,0.8246,-26.09
-20.0,9.0,solstice decembre,0.9953,0.9765,1.93
-17.5,7.88,equinoxe,0.9035,0.9859,-8.36
-17.5,7.88,solstice juin,0.6584,0.838,-21.43
-17.5,7.88,solstice decembre,0.9994,0.971,2.93
-15.0,6.75,equinoxe,0.9288,0.9897,-6.15
-15.0,6.75,solstice juin,0.7046,0.8508,-17.18
-15.0,6.75,solstice decembre,0.9996,0.965,3.58
-12.5,5.62,equinoxe,0.9504,0.9928,-4.27
-12.5,5.62,solstice juin,0.7481,0.8632,-13.33
-12.5,5.62,solstice decembre,0.9957,0.9584,3.89
-10.0,4.5,equinoxe,0.9681,0.9954,-2.74
-10.0,4.5,solstice juin,0.7885,0.875,-9.88
-10.0,4.5,solstice decembre,0.9878,0.9513,3.84
-7.5,3.38,equinoxe,0.982,0.9974,-1.54
-7.5,3.38,solstice juin,0.8259,0.8864,-6.83
-7.5,3.38,solstice decembre,0.976,0.9437,3.43
-5.0,2.25,equinoxe,0.992,0.9988,-0.69
-5.0,2.25,solstice juin,0.8599,0.8973,-4.17
-5.0,2.25,solstice decembre,0.9603,0.9354,2.66
-2.5,1.12,equinoxe,0.998,0.9997,-0.17
-2.5,1.12,solstice juin,0.8904,0.9076,-1.89
-2.5,1.12,solstice decembre,0.9407,0.9267,1.52
0.0,0.0,equinoxe,1.0,1.0,0.0
0.0,0.0,solstice juin,0.9174,0.9174,0.0
0.0,0.0,solstice decembre,0.9174,0.9174,0.0
2.5,1.12,equinoxe,0.9997,0.9997,0.0
2.5,1.12,solstice juin,0.9267,0.9267,0.0
2.5,1.12,solstice decembre,0.9076,0.9076,0.0
5.0,2.25,equinoxe,0.9988,0.9988,0.0
5.0,2.25,solstice juin,0.9354,0.9354,0.0
5.0,2.25,solstice decembre,0.8973,0.8973,0.0
7.5,3.38,equinoxe,0.9974,0.9974,-0.0
7.5,3.38,solstice juin,0.9437,0.9437,-0.0
7.5,3.38,solstice decembre,0.8864,0.8864,-0.0
10.0,4.5,equinoxe,0.9954,0.9954,0.0
10.0,4.5,solstice juin,0.9513,0.9513,0.0
10.0,4.5,solstice decembre,0.875,0.875,-0.0
12.5,5.62,equinoxe,0.9928,0.9928,0.0
12.5,5.62,solstice juin,0.9584,0.9584,0.0
12.5,5.62,solstice decembre,0.8632,0.8632,0.0
15.0,6.75,equinoxe,0.9897,0.9897,0.0
15.0,6.75,solstice juin,0.965,0.965,-0.0
15.0,6.75,solstice decembre,0.8508,0.8508,-0.0
17.5,7.88,equinoxe,0.9859,0.9859,0.0
17.5,7.88,solstice juin,0.971,0.971,-0.0
17.5,7.88,solstice decembre,0.838,0.838,-0.0
20.0,9.0,equinoxe,0.9816,0.9816,-0.0
20.0,9.0,solstice juin,0.9765,0.9765,0.0
20.0,9.0,solstice decembre,0.8246,0.8246,-0.0
22.5,10.12,equinoxe,0.9768,0.9768,0.0
22.5,10.12,solstice juin,0.9814,0.9814,0.0
22.5,10.12,solstice decembre,0.8108,0.8108,0.0
25.0,11.25,equinoxe,0.9713,0.9713,0.0
25.0,11.25,solstice juin,0.9857,0.9857,0.0
25.0,11.25,solstice decembre,0.7965,0.7965,0.0
27.5,12.38,equinoxe,0.9654,0.9654,0.0
27.5,12.38,solstice juin,0.9895,0.9895,0.0
27.5,12.38,solstice decembre,0.7818,0.7818,0.0
30.0,13.5,equinoxe,0.9588,0.9588,0.0
30.0,13.5,solstice juin,0.9927,0.9927,0.0
30.0,13.5,solstice decembre,0.7666,0.7666,0.0
32.5,14.62,equinoxe,0.9517,0.9517,-0.0
32.5,14.62,solstice juin,0.9953,0.9953,-0.0
32.5,14.62,solstice decembre,0.751,0.751,0.0
35.0,15.75,equinoxe,0.9441,0.9441,0.0
35.0,15.75,solstice juin,0.9973,0.9973,-0.0
35.0,15.75,solstice decembre,0.7349,0.7349,-0.0
37.5,16.88,equinoxe,0.9359,0.9359,0.0
37.5,16.88,solstice juin,0.9988,0.9988,0.0
37.5,16.88,solstice decembre,0.7184,0.7184,0.0
