lat,beta_opt_radiatif,regle_manuscrit_0.45|phi|,borne_basse_DE,borne_active,perte_si_borne_pct
-35.0,40.0,15.8,15.0,False,0.0
-32.5,38.0,14.6,15.0,False,0.0
-30.0,36.0,13.5,15.0,False,0.0
-27.5,33.0,12.4,15.0,False,0.0
-25.0,31.0,11.2,15.0,False,0.0
-22.5,29.0,10.1,15.0,False,0.0
-20.0,26.0,9.0,15.0,False,0.0
-17.5,24.0,7.9,15.0,False,0.0
-15.0,22.0,6.8,15.0,False,0.0
-12.5,19.0,5.6,15.0,False,0.0
-10.0,17.0,4.5,15.0,False,0.0
-7.5,14.0,3.4,15.0,True,-0.0
-5.0,12.0,2.2,15.0,True,-0.09
-2.5,10.0,1.1,15.0,True,-0.31
0.0,0.0,0.0,15.0,True,-0.15
2.5,0.0,1.1,15.0,True,-3.89
5.0,0.0,2.2,15.0,True,-3.16
7.5,0.0,3.4,15.0,True,-2.44
10.0,2.0,4.5,15.0,True,-1.76
12.5,4.0,5.6,15.0,True,-1.19
15.0,7.0,6.8,15.0,True,-0.73
17.5,9.0,7.9,15.0,True,-0.38
20.0,11.0,9.0,15.0,True,-0.14
22.5,14.0,10.1,15.0,True,-0.02
25.0,16.0,11.2,15.0,False,0.0
27.5,18.0,12.4,15.0,False,0.0
30.0,21.0,13.5,15.0,False,0.0
32.5,23.0,14.6,15.0,False,0.0
35.0,26.0,15.8,15.0,False,0.0
37.5,28.0,16.9,15.0,False,0.0
