lat,POA_actuel_kWh_m2,POA_corrige_kWh_m2,ecart_POA_pct,PV_actuel_MWh_ha,PV_corrige_MWh_ha,ecart_PV_pct,F_shad_identique
-35.0,1261.3,1855.1,-32.01,422.3,603.9,-30.08,True
-32.5,1308.4,1875.6,-30.24,437.2,610.2,-28.35,True
-30.0,1354.8,1893.8,-28.46,451.9,615.8,-26.61,True
-27.5,1400.9,1909.6,-26.64,466.5,620.6,-24.84,True
-25.0,1445.9,1922.9,-24.8,480.7,624.7,-23.06,True
-22.5,1489.5,1933.8,-22.98,494.4,628.1,-21.3,True
-20.0,1531.5,1942.4,-21.16,507.5,630.8,-19.55,True
-17.5,1571.9,1948.8,-19.34,520.0,632.8,-17.82,True
-15.0,1610.7,1952.8,-17.52,532.1,634.1,-16.09,True
-12.5,1647.9,1954.5,-15.69,543.5,634.6,-14.35,True
-10.0,1683.5,1953.6,-13.82,554.5,634.3,-12.59,True
-7.5,1717.5,1950.1,-11.93,564.9,633.3,-10.8,True
-5.0,1749.5,1944.1,-10.01,574.7,631.5,-9.0,True
-2.5,1779.3,1935.6,-8.07,583.7,628.9,-7.19,True
0.0,1806.8,1942.4,-6.98,591.9,631.8,-6.31,True
2.5,1832.1,1832.1,0.0,599.5,599.5,0.0,True
5.0,1855.1,1855.1,0.0,606.3,606.3,0.0,True
7.5,1875.6,1875.6,0.0,612.4,612.4,0.0,True
10.0,1893.8,1893.8,0.0,617.7,617.7,0.0,True
12.5,1909.6,1909.6,0.0,622.3,622.3,0.0,True
15.0,1922.9,1922.9,0.0,626.1,626.1,0.0,True
17.5,1933.8,1933.8,0.0,629.2,629.2,0.0,True
20.0,1942.4,1942.4,0.0,631.6,631.6,0.0,True
22.5,1948.8,1948.8,0.0,633.2,633.2,0.0,True
25.0,1952.8,1952.8,0.0,634.2,634.2,0.0,True
27.5,1954.5,1954.5,0.0,634.4,634.4,0.0,True
30.0,1953.6,1953.6,0.0,633.8,633.8,0.0,True
32.5,1950.1,1950.1,0.0,632.5,632.5,0.0,True
35.0,1944.1,1944.1,0.0,630.3,630.3,0.0,True
37.5,1935.6,1935.6,0.0,627.4,627.4,0.0,True
