site,champ,rejoue,publie,ecart_pct
Konya,eLER_defA,1.641,1.641,0.0
Konya,LER_crop,0.356,0.356,0.0
Konya,LER_PV_defA,0.674,0.674,0.0
Konya,LER_biogas,0.611,0.611,0.0
Konya,PV_total_MWh_ha,1295.23,1295.2,0.0023
Konya,biogas_total_MWh_ha,3.66,3.66,0.0
Konya,W_saved_mm_season,159.11,159.1,0.0063
Konya,LER_water_season_pct,18.82,18.82,0.0
Almeria,eLER_defA,1.657,1.657,0.0
Almeria,LER_crop,0.366,0.366,0.0
Almeria,LER_PV_defA,0.675,0.675,0.0
Almeria,LER_biogas,0.616,0.616,0.0
Almeria,PV_total_MWh_ha,1386.03,1386.0,0.0022
Almeria,biogas_total_MWh_ha,3.83,3.83,0.0
Almeria,W_saved_mm_season,87.61,87.6,0.0114
Almeria,LER_water_season_pct,18.8,18.8,0.0
Ouagadougou,eLER_defA,1.723,1.723,0.0
Ouagadougou,LER_crop,0.397,0.397,0.0
Ouagadougou,LER_PV_defA,0.691,0.691,0.0
Ouagadougou,LER_biogas,0.635,0.635,0.0
Ouagadougou,PV_total_MWh_ha,1432.67,1432.7,-0.0021
Ouagadougou,biogas_total_MWh_ha,5.98,5.98,0.0
Ouagadougou,W_saved_mm_season,81.25,81.2,0.0616
Ouagadougou,LER_water_season_pct,15.62,15.62,0.0
Freiburg,eLER_defA,1.764,1.764,0.0
Freiburg,LER_crop,0.376,0.376,0.0
Freiburg,LER_PV_defA,0.659,0.659,0.0
Freiburg,LER_biogas,0.729,0.729,0.0
Freiburg,PV_total_MWh_ha,1002.44,1002.4,0.004
Freiburg,biogas_total_MWh_ha,2.88,2.88,0.0
Freiburg,W_saved_mm_season,114.0,114.0,0.0
Freiburg,LER_water_season_pct,22.4,22.4,0.0
