Latitude (decimal degrees): 36.841
Longitude (decimal degrees): -2.463
Elevation (m): 26.0
Irradiance Time Offset (h): 0.1657
month,year
1,2017
2,2011
3,2019
4,2020
5,2020
6,2020
7,2020
8,2011
9,2018
10,2014
11,2006
12,2011
time(UTC),T2m,RH,G(h),Gb(n),Gd(h),IR(h),WS10m,WD10m,SP
20170101:0000,6.46,53.57,0.0,-0.0,0.0,16.31,0.96,329.0,102663.0
20170101:0100,5.37,61.62,0.0,-0.0,0.0,17.14,0.91,330.0,102583.0
20170101:0200,4.28,69.68,0.0,-0.0,0.0,17.98,0.86,326.0,102533.0
20170101:0300,3.19,77.73,0.0,-0.0,0.0,18.81,0.81,324.0,102513.0
20170101:0400,2.1,85.78,0.0,-0.0,0.0,19.65,0.75,325.0,102484.0
20170101:0500,1.0,93.84,0.0,-0.0,0.0,20.48,0.7,326.0,102434.0
20170101:0600,-0.09,100.0,0.0,-0.0,0.0,21.31,0.65,330.0,102404.0
20170101:0700,-1.18,100.0,0.0,-0.0,0.0,22.15,0.59,331.0,102404.0
20170101:0800,2.5,89.7,69.0,152.4,50.0,-6.2,0.62,330.0,102404.0
20170101:0900,4.67,82.0,135.0,50.2,121.0,-4.0,0.55,332.0,102424.0
20170101:1000,9.57,56.35,162.0,12.56,157.0,7.4,0.28,147.0,102444.0
20170101:1100,9.68,63.15,317.0,170.77,236.0,5.4,0.9,176.0,102394.0
20170101:1200,9.98,65.95,333.0,161.29,252.0,4.6,1.31,181.0,102264.0
20170101:1300,10.54,65.05,278.0,89.61,235.0,21.6,1.59,189.0,102164.0
20170101:1400,11.58,60.85,254.0,134.52,199.0,-1.2,1.66,190.0,102065.0
20170101:1500,11.42,61.65,225.0,360.54,119.0,-6.0,1.52,182.0,102025.0
20170101:1600,11.24,60.35,85.0,195.59,57.0,-4.2,1.52,170.0,102015.0
20170101:1700,8.24,77.95,0.0,-0.0,0.0,-8.2,1.52,165.0,102005.0
