time_UTC,T2m,RH,GHI,DNI,DHI,IR,WS,WD,SP,in_season,month,hour_of_day,day_of_year
2005-04-01 00:00:00,6.55,89.32,0.0,-0.0,0.0,302.89,2.1,320.0,87769.0,False,4,0,91
2005-04-01 01:00:00,6.06,91.19,0.0,-0.0,0.0,303.19,2.22,298.0,87796.0,False,4,1,91
2005-04-01 02:00:00,5.57,93.06,0.0,-0.0,0.0,303.5,2.34,303.0,87796.0,False,4,2,91
2005-04-01 03:00:00,5.08,94.93,0.0,-0.0,0.0,303.8,2.46,322.0,87831.0,False,4,3,91
2005-04-01 04:00:00,4.59,96.8,0.0,0.0,0.0,304.1,2.59,336.0,87935.0,False,4,4,91
2005-04-01 05:00:00,4.1,98.67,135.0,102.21,104.0,304.41,2.71,341.0,88075.0,False,4,5,91
2005-04-01 06:00:00,3.61,100.0,89.0,0.0,89.0,304.71,2.83,346.0,88198.0,False,4,6,91
2005-04-01 07:00:00,3.12,100.0,151.0,0.0,151.0,305.02,2.95,349.0,88285.0,False,4,7,91
2005-04-01 08:00:00,5.4,74.4,149.0,0.0,149.0,317.4,4.55,349.0,88285.0,False,4,8,91
2005-04-01 09:00:00,7.07,64.95,202.0,0.0,202.0,318.0,4.34,352.0,88233.0,False,4,9,91
2005-04-01 10:00:00,8.42,59.9,211.0,0.0,211.0,307.0,4.21,357.0,88276.0,False,4,10,91
2005-04-01 11:00:00,8.73,58.3,274.0,1.26,273.0,310.4,4.07,7.0,88250.0,False,4,11,91
2005-04-01 12:00:00,8.9,57.1,117.0,0.0,117.0,326.8,4.48,15.0,88215.0,False,4,12,91
2005-04-01 13:00:00,8.47,57.05,110.0,0.0,110.0,316.8,4.97,16.0,88189.0,False,4,13,91
2005-04-01 14:00:00,7.76,57.8,81.0,0.0,81.0,310.8,5.31,20.0,88215.0,False,4,14,91
2005-04-01 15:00:00,6.59,59.4,60.0,0.0,60.0,306.0,5.59,26.0,88250.0,False,4,15,91
2005-04-01 16:00:00,5.08,62.5,0.0,-0.0,0.0,308.0,5.38,27.0,88346.0,False,4,16,91
2005-04-01 17:00:00,3.76,66.1,0.0,-0.0,0.0,305.8,5.38,23.0,88451.0,False,4,17,91
2005-04-01 18:00:00,2.63,70.3,0.0,-0.0,0.0,295.0,5.31,18.0,88539.0,False,4,18,91
2005-04-01 19:00:00,1.71,76.2,0.0,-0.0,0.0,296.8,5.1,15.0,88609.0,False,4,19,91
2005-04-01 20:00:00,0.96,79.0,0.0,-0.0,0.0,294.2,4.97,10.0,88644.0,False,4,20,91
2005-04-01 21:00:00,0.34,80.15,0.0,-0.0,0.0,297.6,5.03,4.0,88661.0,False,4,21,91
2005-04-01 22:00:00,-0.22,80.5,0.0,-0.0,0.0,302.4,5.1,358.0,88679.0,False,4,22,91
2005-04-01 23:00:00,-0.8,80.7,0.0,-0.0,0.0,301.0,4.97,354.0,88696.0,False,4,23,91
2005-04-02 00:00:00,-1.35,80.65,0.0,-0.0,0.0,300.4,4.83,354.0,88722.0,False,4,0,92
2005-04-02 01:00:00,-1.92,80.25,0.0,-0.0,0.0,297.4,4.83,354.0,88722.0,False,4,1,92
2005-04-02 02:00:00,-2.34,80.05,0.0,-0.0,0.0,295.4,4.62,354.0,88766.0,False,4,2,92
2005-04-02 03:00:00,-2.67,79.9,0.0,-0.0,0.0,293.4,4.48,353.0,88792.0,False,4,3,92
2005-04-02 04:00:00,-2.89,79.2,0.0,0.0,0.0,291.2,4.34,352.0,88845.0,False,4,4,92
2005-04-02 05:00:00,-2.85,77.45,30.0,0.0,30.0,287.4,4.28,354.0,88889.0,False,4,5,92
2005-04-02 06:00:00,-2.58,75.5,45.0,0.0,45.0,289.4,4.14,356.0,88906.0,False,4,6,92
2005-04-02 07:00:00,-1.57,70.55,204.0,1.55,203.0,289.4,4.48,360.0,88932.0,False,4,7,92
2005-04-02 08:00:00,-0.64,65.9,473.0,131.87,373.0,292.4,4.41,6.0,88950.0,False,4,8,92
2005-04-02 09:00:00,0.12,62.7,650.0,307.26,397.0,293.2,4.14,6.0,88932.0,False,4,9,92
2005-04-02 10:00:00,0.85,60.15,693.0,344.5,405.0,297.6,4.0,7.0,88950.0,False,4,10,92
2005-04-02 11:00:00,1.42,58.25,341.0,10.06,333.0,292.2,4.21,6.0,88915.0,False,4,11,92
2005-04-02 12:00:00,1.63,57.8,450.0,105.14,376.0,294.2,4.34,6.0,88906.0,False,4,12,92
2005-04-02 13:00:00,1.81,57.7,252.0,12.32,245.0,295.0,4.48,8.0,88906.0,False,4,13,92
2005-04-02 14:00:00,1.79,57.75,109.0,0.0,109.0,291.6,4.69,9.0,88889.0,False,4,14,92
2005-04-02 15:00:00,1.31,59.9,20.0,0.0,20.0,289.8,4.62,11.0,88915.0,False,4,15,92
2005-04-02 16:00:00,0.72,64.2,0.0,-0.0,0.0,284.2,4.21,14.0,88958.0,False,4,16,92
2005-04-02 17:00:00,0.22,69.8,0.0,-0.0,0.0,287.8,3.66,17.0,89046.0,False,4,17,92
2005-04-02 18:00:00,-0.07,73.25,0.0,-0.0,0.0,286.4,3.52,19.0,89081.0,False,4,18,92
2005-04-02 19:00:00,-1.19,73.3,0.0,-0.0,0.0,276.4,3.03,19.0,89125.0,False,4,19,92
2005-04-02 20:00:00,-1.72,76.6,0.0,-0.0,0.0,259.0,2.48,6.0,89107.0,False,4,20,92
2005-04-02 21:00:00,-2.19,78.5,0.0,-0.0,0.0,258.0,2.62,356.0,89116.0,False,4,21,92
2005-04-02 22:00:00,-3.0,81.6,0.0,-0.0,0.0,242.8,2.62,352.0,89098.0,False,4,22,92
2005-04-02 23:00:00,-3.13,83.15,0.0,-0.0,0.0,258.6,2.83,352.0,89090.0,False,4,23,92
