Quantity,Static,Dynamic,Diff_pct
PV_total_MWh_ha,1002.44,1004.61723852564,0.217193899449361
PV_sold_MWh_ha,951.19,1002.84923022346,5.43101065228364
biogas_total_MWh_ha,2.88,5.83083681733827,102.459611713134
heat_demand_MWh_ha,2.22,3.37078362923666,51.8371004160656
BMP_eff_NmL_gVS,140.4,302.344523354804,115.345102104561
OLR_kgVS_m3d,1.582,1.48902852454281,-5.87683157125082
T_dig_avg_degC,26,35.4616995899606,36.3911522690793
GCR_pct,69.16,69.1580638922212,-0.00279946179703846
LER_crop (PAR-ratio defn),0.376,0.437114290063788,16.2538005488798
LER_crop (biomass defn),0.376,0.46725093592361,24.2688659371303
LER_PV,0.659,0.693100394540275,5.17456669806911
LER_biogas,0.729,0.773877968658628,6.15609995317263
eLER,1.764,1.93422929912251,9.65018702508583
ET0_season_mm,508.8,508.821099817535,0.00414697671687451
W_saved_mm_season,114,113.998392292207,-0.00141026999389638
LER_water_season_pct,22.4,22.4044152911676,0.0197111212838338
