time_UTC,T2m,RH,GHI,DNI,DHI,IR,WS,WD,SP,in_season,month,hour_of_day,day_of_year
2017-01-01 00:00:00,6.46,53.57,0.0,-0.0,0.0,16.31,0.96,329.0,102663.0,False,1,0,1
2017-01-01 01:00:00,5.37,61.62,0.0,-0.0,0.0,17.14,0.91,330.0,102583.0,False,1,1,1
2017-01-01 02:00:00,4.28,69.68,0.0,-0.0,0.0,17.98,0.86,326.0,102533.0,False,1,2,1
2017-01-01 03:00:00,3.19,77.73,0.0,-0.0,0.0,18.81,0.81,324.0,102513.0,False,1,3,1
2017-01-01 04:00:00,2.1,85.78,0.0,-0.0,0.0,19.65,0.75,325.0,102484.0,False,1,4,1
2017-01-01 05:00:00,1.0,93.84,0.0,-0.0,0.0,20.48,0.7,326.0,102434.0,False,1,5,1
2017-01-01 06:00:00,-0.09,100.0,0.0,-0.0,0.0,21.31,0.65,330.0,102404.0,False,1,6,1
2017-01-01 07:00:00,-1.18,100.0,0.0,-0.0,0.0,22.15,0.59,331.0,102404.0,False,1,7,1
2017-01-01 08:00:00,2.5,89.7,69.0,152.4,50.0,-6.2,0.62,330.0,102404.0,False,1,8,1
2017-01-01 09:00:00,4.67,82.0,135.0,50.2,121.0,-4.0,0.55,332.0,102424.0,False,1,9,1
2017-01-01 10:00:00,9.57,56.35,162.0,12.56,157.0,7.4,0.28,147.0,102444.0,False,1,10,1
2017-01-01 11:00:00,9.68,63.15,317.0,170.77,236.0,5.4,0.9,176.0,102394.0,False,1,11,1
2017-01-01 12:00:00,9.98,65.95,333.0,161.29,252.0,4.6,1.31,181.0,102264.0,False,1,12,1
2017-01-01 13:00:00,10.54,65.05,278.0,89.61,235.0,21.6,1.59,189.0,102164.0,False,1,13,1
2017-01-01 14:00:00,11.58,60.85,254.0,134.52,199.0,-1.2,1.66,190.0,102065.0,False,1,14,1
2017-01-01 15:00:00,11.42,61.65,225.0,360.54,119.0,-6.0,1.52,182.0,102025.0,False,1,15,1
2017-01-01 16:00:00,11.24,60.35,85.0,195.59,57.0,-4.2,1.52,170.0,102015.0,False,1,16,1
2017-01-01 17:00:00,8.24,77.95,0.0,-0.0,0.0,-8.2,1.52,165.0,102005.0,False,1,17,1
2017-01-01 18:00:00,7.57,79.6,0.0,-0.0,0.0,0.0,1.1,180.0,102005.0,False,1,18,1
2017-01-01 19:00:00,6.84,85.25,0.0,-0.0,0.0,-5.6,0.55,241.0,102025.0,False,1,19,1
2017-01-01 20:00:00,5.6,89.9,0.0,-0.0,0.0,0.15,0.62,277.0,102005.0,False,1,20,1
2017-01-01 21:00:00,3.98,94.65,0.0,-0.0,0.0,0.0,0.76,292.0,102025.0,False,1,21,1
2017-01-01 22:00:00,3.63,92.55,0.0,-0.0,0.0,11.4,0.76,310.0,102025.0,False,1,22,1
2017-01-01 23:00:00,3.67,92.75,0.0,-0.0,0.0,-5.0,0.69,307.0,101975.0,False,1,23,1
2017-01-02 00:00:00,3.93,91.45,0.0,-0.0,0.0,3.4,0.83,304.0,101935.0,False,1,0,2
2017-01-02 01:00:00,4.0,90.15,0.0,-0.0,0.0,271.0,0.69,306.0,101895.0,False,1,1,2
2017-01-02 02:00:00,3.3,90.75,0.0,-0.0,0.0,-11.2,0.48,310.0,101855.0,False,1,2,2
2017-01-02 03:00:00,2.86,92.2,0.0,-0.0,0.0,-2.6,0.48,316.0,101855.0,False,1,3,2
2017-01-02 04:00:00,2.62,91.95,0.0,-0.0,0.0,8.8,0.48,330.0,101845.0,False,1,4,2
2017-01-02 05:00:00,2.45,91.45,0.0,-0.0,0.0,4.0,0.69,339.0,101796.0,False,1,5,2
2017-01-02 06:00:00,2.4,90.6,0.0,-0.0,0.0,9.8,0.76,344.0,101816.0,False,1,6,2
2017-01-02 07:00:00,2.28,89.9,0.0,-0.0,0.0,-9.2,0.76,341.0,101855.0,False,1,7,2
2017-01-02 08:00:00,3.24,89.15,62.0,96.41,50.0,6.8,0.62,348.0,101905.0,False,1,8,2
2017-01-02 09:00:00,4.77,88.5,230.0,469.48,99.0,12.8,0.9,7.0,101935.0,False,1,9,2
2017-01-02 10:00:00,8.86,64.3,390.0,767.56,84.0,-13.4,0.97,41.0,102015.0,False,1,10,2
2017-01-02 11:00:00,9.37,64.85,471.0,765.97,107.0,-2.2,0.97,84.0,101965.0,False,1,11,2
2017-01-02 12:00:00,10.3,60.0,430.0,442.93,207.0,-3.15,1.03,107.0,101855.0,False,1,12,2
2017-01-02 13:00:00,11.0,58.55,489.0,828.69,90.0,1.35,1.17,124.0,101796.0,False,1,13,2
2017-01-02 14:00:00,11.64,59.15,381.0,635.38,120.0,0.2,1.31,127.0,101756.0,False,1,14,2
2017-01-02 15:00:00,11.68,61.15,262.0,601.02,84.0,2.0,1.45,124.0,101756.0,False,1,15,2
2017-01-02 16:00:00,11.47,57.2,108.0,440.01,44.0,-1.6,1.31,118.0,101776.0,False,1,16,2
2017-01-02 17:00:00,9.13,76.55,0.0,-0.0,0.0,-3.6,1.24,103.0,101816.0,False,1,17,2
2017-01-02 18:00:00,8.58,78.85,0.0,-0.0,0.0,-4.0,0.69,36.0,101855.0,False,1,18,2
2017-01-02 19:00:00,7.77,81.45,0.0,-0.0,0.0,0.75,0.55,350.0,101915.0,False,1,19,2
2017-01-02 20:00:00,6.75,85.25,0.0,-0.0,0.0,-2.6,0.41,326.0,101965.0,False,1,20,2
2017-01-02 21:00:00,5.46,87.35,0.0,-0.0,0.0,6.2,0.28,308.0,101995.0,False,1,21,2
2017-01-02 22:00:00,5.04,85.15,0.0,-0.0,0.0,-8.6,0.55,319.0,102045.0,False,1,22,2
2017-01-02 23:00:00,4.9,84.9,0.0,-0.0,0.0,5.2,0.55,311.0,102045.0,False,1,23,2
2017-01-03 00:00:00,5.07,82.55,0.0,-0.0,0.0,-4.6,0.97,308.0,102055.0,False,1,0,3
2017-01-03 01:00:00,5.23,81.25,0.0,-0.0,0.0,267.6,1.31,302.0,102025.0,False,1,1,3
2017-01-03 02:00:00,5.0,79.2,0.0,-0.0,0.0,-2.8,1.59,297.0,102015.0,False,1,2,3
2017-01-03 03:00:00,5.09,78.45,0.0,-0.0,0.0,4.6,1.66,302.0,102025.0,False,1,3,3
2017-01-03 04:00:00,4.56,77.75,0.0,-0.0,0.0,-2.6,1.59,306.0,101995.0,False,1,4,3
2017-01-03 05:00:00,4.36,76.6,0.0,-0.0,0.0,0.0,1.52,306.0,101985.0,False,1,5,3
2017-01-03 06:00:00,4.14,75.3,0.0,-0.0,0.0,3.35,1.52,308.0,101995.0,False,1,6,3
2017-01-03 07:00:00,3.88,74.55,0.0,-0.0,0.0,-6.2,1.59,312.0,102025.0,False,1,7,3
2017-01-03 08:00:00,4.39,70.0,90.0,418.1,38.0,0.8,1.52,313.0,102085.0,False,1,8,3
2017-01-03 09:00:00,6.67,68.55,249.0,615.91,77.0,0.15,2.0,314.0,102135.0,False,1,9,3
2017-01-03 10:00:00,11.51,47.05,382.0,711.3,98.0,4.0,1.72,312.0,102214.0,False,1,10,3
2017-01-03 11:00:00,13.13,39.4,422.0,514.48,177.0,8.2,1.31,274.0,102244.0,False,1,11,3
2017-01-03 12:00:00,13.85,40.95,494.0,721.01,130.0,1.0,1.45,244.0,102194.0,False,1,12,3
2017-01-03 13:00:00,14.98,42.3,480.0,767.76,109.0,3.0,1.52,231.0,102125.0,False,1,13,3
2017-01-03 14:00:00,15.77,41.55,385.0,649.2,117.0,3.2,1.17,227.0,102085.0,False,1,14,3
2017-01-03 15:00:00,15.87,44.1,240.0,428.93,112.0,-0.4,0.97,220.0,102105.0,False,1,15,3
2017-01-03 16:00:00,15.65,46.4,105.0,378.81,49.0,-0.75,0.55,213.0,102105.0,False,1,16,3
2017-01-03 17:00:00,12.74,61.0,0.0,-0.0,0.0,0.75,0.76,260.0,102145.0,False,1,17,3
2017-01-03 18:00:00,10.6,72.05,0.0,-0.0,0.0,-3.75,1.38,320.0,102174.0,False,1,18,3
2017-01-03 19:00:00,9.4,73.9,0.0,-0.0,0.0,3.15,1.59,324.0,102224.0,False,1,19,3
2017-01-03 20:00:00,8.97,74.05,0.0,-0.0,0.0,4.0,1.79,324.0,102254.0,False,1,20,3
2017-01-03 21:00:00,8.1,73.1,0.0,-0.0,0.0,1.4,1.72,323.0,102264.0,False,1,21,3
2017-01-03 22:00:00,7.23,76.85,0.0,-0.0,0.0,-3.6,1.52,322.0,102254.0,False,1,22,3
2017-01-03 23:00:00,6.68,80.35,0.0,-0.0,0.0,3.0,1.45,321.0,102244.0,False,1,23,3
2017-01-04 00:00:00,6.33,83.15,0.0,-0.0,0.0,-2.8,1.52,322.0,102224.0,False,1,0,4
2017-01-04 01:00:00,5.56,87.2,0.0,-0.0,0.0,280.2,1.45,324.0,102184.0,False,1,1,4
2017-01-04 02:00:00,5.17,90.0,0.0,-0.0,0.0,-1.0,1.45,327.0,102135.0,False,1,2,4
2017-01-04 03:00:00,5.4,92.05,0.0,-0.0,0.0,4.8,1.52,328.0,102135.0,False,1,3,4
2017-01-04 04:00:00,5.29,91.8,0.0,-0.0,0.0,-4.0,1.52,329.0,102135.0,False,1,4,4
2017-01-04 05:00:00,5.32,91.85,0.0,-0.0,0.0,0.35,1.52,330.0,102095.0,False,1,5,4
2017-01-04 06:00:00,5.48,91.45,0.0,-0.0,0.0,4.8,1.45,330.0,102125.0,False,1,6,4
2017-01-04 07:00:00,5.86,90.4,0.0,-0.0,0.0,9.8,1.38,331.0,102135.0,False,1,7,4
2017-01-04 08:00:00,6.57,87.25,69.0,160.8,49.0,-3.8,1.52,330.0,102184.0,False,1,8,4
2017-01-04 09:00:00,8.16,86.95,203.0,296.85,120.0,8.4,1.86,334.0,102234.0,False,1,9,4
2017-01-04 10:00:00,13.22,63.1,394.0,782.53,81.0,2.2,1.24,341.0,102294.0,False,1,10,4
2017-01-04 11:00:00,14.33,54.8,458.0,680.89,133.0,8.4,0.9,315.0,102264.0,False,1,11,4
2017-01-04 12:00:00,15.11,53.35,470.0,598.41,167.0,-3.8,0.69,279.0,102174.0,False,1,12,4
2017-01-04 13:00:00,15.62,54.3,457.0,641.15,146.0,9.0,0.83,254.0,102065.0,False,1,13,4
2017-01-04 14:00:00,16.51,53.55,410.0,790.47,82.0,6.4,0.83,229.0,102005.0,False,1,14,4
2017-01-04 15:00:00,16.71,53.7,257.0,535.31,96.0,-14.0,0.76,225.0,101965.0,False,1,15,4
2017-01-04 16:00:00,16.55,55.5,113.0,459.1,44.0,2.0,0.62,228.0,101975.0,False,1,16,4
