site,scenario,beta_deg,d_row_m,H_m_m,V_dig_m3,HRT_days,f_PV_heat,GCR_pct,OLR_kgVS_m3d,PV_total_MWh_ha,PV_sold_MWh_ha,PV_self_MWh_ha,biogas_total_MWh_ha,heat_demand_MWh_ha,biogas_for_heat_MWh_ha,ESR,BMP_avg_NmL_gVS,LER_crop,LER_PV_defA,LER_PV_defB,LER_biogas,eLER_defA,eLER_defB,LER_2C,W_saved_mm_season,ET0_season_mm,ET0_annual_mm,LER_water_season_pct,LER_water_annual_pct,CAPEX_PV_kUSD,CAPEX_AD_kUSD,CAPEX_agri_kUSD,CAPEX_BOP_kUSD,CAPEX_total_kUSD,gross_revenue_kUSD_yr,opex_kUSD_yr,net_CF_kUSD_yr,NPV_kUSD,IRR_pct,payback_yr,LCOE_PV_USD_kWh,cost_biogas_USD_MWh,CO2_avoided_PV_tCO2_ha,CO2_avoided_biogas_tCO2_ha,CO2_avoided_total_tCO2_ha,carbon_value_USD_ha,V1_MAPE_pct,V2_MAPE_pct
Konya,S0,20.7100,3.0300,1.5010,4.3200,22.5000,0.0513,70.3200,1.5690,1295.2000,1228.7000,66.5000,3.6600,2.2600,0.0000,574.2000,148.8000,0.3560,0.6740,0.7030,0.6110,1.6410,1.6700,1.0300,159.1000,845.6000,1134.2000,18.8200,14.0300,491.6800,3.4500,2.5000,74.2700,571.9100,80.4300,8.5800,71.8500,133.5000,11.0100,8.0000,0.0468,0.1100,538.2000,0.7400,538.9000,8083.9000,2.4000,39.0000
Konya,S1,20.7100,3.0300,1.5010,4.3200,22.5000,0.0513,70.3200,1.5690,1295.2000,1228.7000,66.5000,3.6600,2.2600,0.0000,574.2000,148.8000,0.3560,0.6740,0.7030,0.6110,1.6410,1.6700,1.0300,159.1000,845.6000,1134.2000,18.8200,14.0300,491.6800,3.4500,2.5000,74.2700,571.9100,80.4700,8.5800,71.8900,133.9000,11.0200,8.0000,0.0468,0.1100,538.2000,0.7400,538.9000,8083.9000,2.4000,39.0000
Konya,S2,20.7100,3.0300,1.5010,4.3200,22.5000,0.0513,70.3200,1.5690,1295.2000,1228.7000,66.5000,3.6600,2.2600,0.0000,574.2000,148.8000,0.3560,0.6740,0.7030,0.6110,1.6410,1.6700,1.0300,159.1000,845.6000,1134.2000,18.8200,14.0300,491.6800,3.4500,2.5000,74.2700,571.9100,80.3800,8.5800,71.8000,133.1000,11.0000,8.0000,0.0468,0.1100,538.2000,0.7400,538.9000,8083.9000,2.4000,39.0000
Konya,S3,20.7100,3.0300,1.5010,4.3200,22.5000,0.0513,70.3200,1.5690,1295.2000,1228.7000,66.5000,3.6600,2.2600,0.0000,574.2000,148.8000,0.3560,0.6740,0.7030,0.6110,1.6410,1.6700,1.0300,159.1000,845.6000,1134.2000,18.8200,14.0300,491.6800,3.4500,2.5000,74.2700,571.9100,80.7900,8.5800,72.2100,137.1000,11.0800,7.9000,0.0468,0.1100,538.2000,0.7400,538.9000,8083.9000,2.4000,39.0000
Konya,S4,20.7100,3.0300,1.5010,4.3200,22.5000,0.0513,70.3200,1.5690,1295.2000,1228.7000,66.5000,3.6600,2.2600,0.0000,574.2000,148.8000,0.3560,0.6740,0.7030,0.6110,1.6410,1.6700,1.0300,159.1000,845.6000,1134.2000,18.8200,14.0300,491.6800,3.4500,2.5000,74.2700,571.9100,80.4900,8.5800,71.9100,134.1000,11.0200,8.0000,0.0468,0.1100,538.2000,0.7400,538.9000,8083.9000,2.4000,39.0000
Konya,S5,20.7100,3.0300,1.5010,4.3200,22.5000,0.0513,70.3200,1.5690,1295.2000,1228.7000,66.5000,3.6600,2.2600,0.0000,574.2000,148.8000,0.3560,0.6740,0.7030,0.6110,1.6410,1.6700,1.0300,159.1000,845.6000,1134.2000,18.8200,14.0300,491.6800,3.4500,2.5000,74.2700,571.9100,81.3400,8.5800,72.7600,142.5000,11.2000,7.9000,0.0468,0.1100,538.2000,0.7400,538.9000,8083.9000,2.4000,39.0000
Konya,S6,20.7100,3.0300,1.5010,4.3200,22.5000,0.0513,70.3200,1.5690,1295.2000,1228.7000,66.5000,3.6600,2.2600,0.0000,574.2000,148.8000,0.3560,0.6740,0.7030,0.6110,1.6410,1.6700,1.0300,159.1000,845.6000,1134.2000,18.8200,14.0300,491.6800,3.4500,2.5000,74.2700,571.9100,88.5100,8.5800,79.9300,212.9000,12.7000,7.2000,0.0468,0.1100,538.2000,0.7400,538.9000,8083.9000,2.4000,39.0000
Almeria,S0,20.5100,3.0300,1.5060,3.5500,22.5000,0.0500,70.4100,1.9250,1386.0000,1316.7000,69.4000,3.8300,1.5600,0.0000,889.5000,154.3000,0.3660,0.6750,0.7040,0.6160,1.6570,1.6860,1.0400,87.6000,466.1000,1151.3000,18.8000,7.6100,491.6800,2.8400,2.5000,74.1800,571.2000,127.6300,8.5700,119.0600,794.4000,20.3300,4.8000,0.0382,0.0800,219.9000,0.7700,220.7000,14342.6000,2.4000,39.0000
Almeria,S1,20.5100,3.0300,1.5060,3.5500,22.5000,0.0500,70.4100,1.9250,1386.0000,1316.7000,69.4000,3.8300,1.5600,0.0000,889.5000,154.3000,0.3660,0.6750,0.7040,0.6160,1.6570,1.6860,1.0400,87.6000,466.1000,1151.3000,18.8000,7.6100,491.6800,2.8400,2.5000,74.1800,571.2000,127.6800,8.5700,119.1100,795.0000,20.3400,4.8000,0.0382,0.0800,219.9000,0.7700,220.7000,14342.6000,2.4000,39.0000
Almeria,S2,20.5100,3.0300,1.5060,3.5500,22.5000,0.0500,70.4100,1.9250,1386.0000,1316.7000,69.4000,3.8300,1.5600,0.0000,889.5000,154.3000,0.3660,0.6750,0.7040,0.6160,1.6570,1.6860,1.0400,87.6000,466.1000,1151.3000,18.8000,7.6100,491.6800,2.8400,2.5000,74.1800,571.2000,127.5800,8.5700,119.0100,793.8000,20.3200,4.8000,0.0382,0.0800,219.9000,0.7700,220.7000,14342.6000,2.4000,39.0000
